ID,seg,music_training,press
W23-YKF,Seg1,10,0
W23-YKF,Seg2,10,0
W23-YKF,Seg3,10,0
W23-YKF,Seg4,10,0
W23-YKF,Seg5,10,0
W23-YKF,Seg6,10,0
W23-YKF,Seg7,10,0
W23-YKF,Seg8,10,0
W23-YKF,Seg9,10,0
W23-YKF,Seg10,10,0
W23-YKF,Seg11,10,0
W23-YKF,Seg12,10,0
W23-YKF,Seg13,10,0
W23-YKF,Seg14,10,0
W23-YKF,Seg15,10,0
W23-YKF,Seg16,10,0
W23-YKF,Seg17,10,0
W23-YKF,Seg18,10,0
W23-YKF,Seg19,10,0
W23-YKF,Seg20,10,0
W23-YKF,Seg21,10,0
S06-BRW,Seg1,7,0
S06-BRW,Seg2,7,1
S06-BRW,Seg3,7,0
S06-BRW,Seg4,7,1
S06-BRW,Seg5,7,0
S06-BRW,Seg6,7,0
S06-BRW,Seg7,7,0
S06-BRW,Seg8,7,0
S06-BRW,Seg9,7,1
S06-BRW,Seg10,7,0
S06-BRW,Seg11,7,0
S06-BRW,Seg12,7,0
S06-BRW,Seg13,7,0
S06-BRW,Seg14,7,0
S06-BRW,Seg15,7,1
S06-BRW,Seg16,7,0
S06-BRW,Seg17,7,0
S06-BRW,Seg18,7,0
S06-BRW,Seg19,7,0
S06-BRW,Seg20,7,0
S06-BRW,Seg21,7,1
N70-YTS,Seg1,10,0
N70-YTS,Seg2,10,0
N70-YTS,Seg3,10,0
N70-YTS,Seg4,10,1
N70-YTS,Seg5,10,0
N70-YTS,Seg6,10,0
N70-YTS,Seg7,10,0
N70-YTS,Seg8,10,0
N70-YTS,Seg9,10,0
N70-YTS,Seg10,10,0
N70-YTS,Seg11,10,0
N70-YTS,Seg12,10,0
N70-YTS,Seg13,10,0
N70-YTS,Seg14,10,0
N70-YTS,Seg15,10,0
N70-YTS,Seg16,10,0
N70-YTS,Seg17,10,0
N70-YTS,Seg18,10,0
N70-YTS,Seg19,10,0
N70-YTS,Seg20,10,0
N70-YTS,Seg21,10,0
S26-WMX,Seg1,8,0
S26-WMX,Seg2,8,0
S26-WMX,Seg3,8,0
S26-WMX,Seg4,8,0
S26-WMX,Seg5,8,0
S26-WMX,Seg6,8,0
S26-WMX,Seg7,8,0
S26-WMX,Seg8,8,0
S26-WMX,Seg9,8,0
S26-WMX,Seg10,8,0
S26-WMX,Seg11,8,0
S26-WMX,Seg12,8,0
S26-WMX,Seg13,8,0
S26-WMX,Seg14,8,0
S26-WMX,Seg15,8,0
S26-WMX,Seg16,8,0
S26-WMX,Seg17,8,0
S26-WMX,Seg18,8,0
S26-WMX,Seg19,8,0
S26-WMX,Seg20,8,0
S26-WMX,Seg21,8,0
K73-KVY,Seg1,6,0
K73-KVY,Seg2,6,0
K73-KVY,Seg3,6,0
K73-KVY,Seg4,6,0
K73-KVY,Seg5,6,0
K73-KVY,Seg6,6,0
K73-KVY,Seg7,6,0
